di_id,name
1,Acute Flaccid Myelitis (AFM)
2,Alphaviruses
3,Alzheimer's Diseases (Spanish)
4,Arthritis
5,Babesiosis
6,Blue-green Algae
7,Cancer and Your Environment
8,Cancer - Breast
9,Cancer - Cervical
10,Cancer - Colon
11,Cancer - Endometrial
12,Cancer - Kidney
13,Cancer - Liver
14,Cancer - Multiple Myeloma
15,Cancer - Ovarian
16,Cancer - Pancreatic
17,Cancer - Stomach
18,Cancer - Thyroid
19,Cancer - Uterus (Spanish)
20,Carbon Monoxide Poisoning
21,Celiac Disease
22,Chancroid
23,Chickenpox
24,Chronic Obstructive Pulmonary Disease (COPD)
25,Conjunctivitis
26,Crabs
27,Cryptosporidiosis
28,Diabetes
29,AIDS (HIV/AIDS)
30,Alzheimerâ€™s Disease
31,Arboviral Encephalitis
32,Asthma
33,Bacterial Vaginosis
34,Cancer
35,Cancer - Bladder
36,Cancer - Breast Exams and Mammograms
37,Cancer - Cervical (Spanish)
38,Cancer - Colorectal
39,Cancer - Endometrial (Spanish)
40,Cancer - Leukemia
41,Cancer - Lung
42,Cancer - Oral
43,Cancer - Ovarian (Spanish)
44,Cancer - Skin
45,Cancer - Testicular
46,Cancer - Uterus
47,Carbapenem-Resistant Enterobacteriaceae (CRE) Infections
48,Cardiovascular Disease
49,Chagas Disease
50,Chlamydia
51,Chronic Fatigue Syndrome
52,Clostridium Difficile
53,Creutzfeldt-Jakob Disease
54,Cyclospora
55,Depression
56,Diphtheria
